conductivity_Sm,diameter_nm,length_um,density_gcm3,tensile_strength_MPa,youngs_modulus_GPa,source
61500.0,15.0,,0.9,,,meta-analysis-2021
33000.0,15.0,,0.9,,,meta-analysis-2021
2900000.0,3.2,633.0,1.3,1300.0,200.0,meta-analysis-2021
5000000.0,3.2,,1.4,,,meta-analysis-2021
400000.0,3.2,,,,,meta-analysis-2021
27000.0,20.0,,,570.0,57.1,meta-analysis-2021
3003.1347962382,10.0,,,3.79448621553884,0.383715012722646,meta-analysis-2021
3134.7962382445003,10.0,,,,,meta-analysis-2021
3398.119122257,10.0,,,,,meta-analysis-2021
3840.1253918495,10.0,,,,,meta-analysis-2021
4103.448275862,10.0,,,,,meta-analysis-2021
4075.2351097178,10.0,,,5.31077694235588,0.617811704834605,meta-analysis-2021
4028.2131661442,10.0,,,,,meta-analysis-2021
9238.7238723872,3.9,,,,,meta-analysis-2021
16831.683168316802,5.4,,,,,meta-analysis-2021
12704.070407040499,7.9,,,,,meta-analysis-2021
12211.2211221121,8.7,,,,,meta-analysis-2021
6585.4588083639,3.9,,0.787401574803149,,,meta-analysis-2021
17844.4997641388,5.4,,0.708661417322834,,,meta-analysis-2021
13365.0056746796,7.9,,0.661417322834645,,,meta-analysis-2021
11475.2392472991,8.7,,0.718110236220472,,,meta-analysis-2021
1000.0,7.8,532.0,,,,meta-analysis-2021
10000.0,7.8,532.0,,,,meta-analysis-2021
129386.037967514,15.0,514.4,1.8,410.0,14.6,meta-analysis-2021
351461.7350459479,15.0,,1.53,687.5,20.6642066420664,meta-analysis-2021
822726.7319287851,15.0,,1.53,612.5,16.4022140221402,meta-analysis-2021
632038.7194410989,15.0,,1.53,605.882352941176,15.7933579335793,meta-analysis-2021
403300.385005258,15.0,,1.53,566.1764705882349,16.4022140221402,meta-analysis-2021
24155.4054054053,3.0,532.0,,87.5471698113207,5.06885245901639,meta-analysis-2021
25962.837837837702,3.0,532.0,,79.8490566037735,4.62295081967213,meta-analysis-2021
36298.1802825552,3.0,532.0,,91.6226415094339,5.75081967213114,meta-analysis-2021
25954.3918918917,3.0,532.0,,74.4150943396226,6.22295081967213,meta-analysis-2021
23040.5405405405,3.0,532.0,,82.1132075471698,5.6983606557377,meta-analysis-2021
19594.5945945946,3.0,532.0,,77.5849056603773,4.30819672131147,meta-analysis-2021
14999.0402334152,3.0,532.0,,48.2012578616351,2.07868852459016,meta-analysis-2021
38429.8218673218,3.0,532.0,,145.999999999999,10.0,meta-analysis-2021
39641.04729729729,3.0,532.0,,150.40251572327,10.0,meta-analysis-2021
11646.9594594594,3.0,532.0,,25.0566037735848,1.00327868852459,meta-analysis-2021
38664.5807739556,3.0,532.0,,216.150943396226,12.7803278688524,meta-analysis-2021
27791.754018169,1.0,532.0,,63.1973329099856,6.14232209737829,meta-analysis-2021
21677.1488469599,1.0,532.0,,31.8876012065406,3.05243445692885,meta-analysis-2021
24297.6939203353,1.0,532.0,,82.2257501190665,9.13857677902623,meta-analysis-2021
35471.6981132074,1.7,532.0,,12.6582278481012,2.02247191011237,meta-analysis-2021
100377.35849056489,1.7,532.0,,58.2278481012657,8.29588014981274,meta-analysis-2021
311698.113207547,1.7,532.0,,179.746835443037,23.5580524344569,meta-analysis-2021
209056.603773584,1.7,532.0,,193.037974683544,23.9325842696629,meta-analysis-2021
272452.830188679,1.7,532.0,,125.632911392404,16.816479400749,meta-analysis-2021
341886.79245283,1.7,532.0,,109.493670886075,10.3558052434457,meta-analysis-2021
456603.7735849049,1.3,532.0,,149.663641429822,13.1647940074906,meta-analysis-2021
453584.9056603769,1.3,532.0,,155.503144654088,14.7565543071161,meta-analysis-2021
329811.320754716,1.3,532.0,,196.686171483162,19.5318352059925,meta-analysis-2021
497358.49056603695,2.0,532.0,,241.981132075471,33.2958801498127,meta-analysis-2021
375094.339622641,2.0,532.0,,178.425284611097,19.3445692883895,meta-analysis-2021
378113.207547169,2.0,532.0,,268.961468035984,22.9962546816479,meta-analysis-2021
637735.8490566029,1.4,532.0,,313.052304752806,40.3183520599251,meta-analysis-2021
631698.113207547,1.4,532.0,,282.843722633548,36.4794007490636,meta-analysis-2021
612075.4716981129,1.4,532.0,,368.316614919194,34.9812734082397,meta-analysis-2021
21881.8380743982,2.18,,,,,meta-analysis-2021
22222.222222222197,1.91,,,,,meta-analysis-2021
21505.376344086,1.68,,,,,meta-analysis-2021
5941.770647652999,1.44,,,,,meta-analysis-2021
250000.0,1.4,514.0,,,,meta-analysis-2021
200000.0,15.0,,,,,meta-analysis-2021
850000.0,15.0,,,,,meta-analysis-2021
1800000.0,15.0,,,,,meta-analysis-2021
1152073.7327188938,1.9,,,,,meta-analysis-2021
5586592.17877095,1.9,,,,,meta-analysis-2021
24300.0,5.0,532.0,,,,meta-analysis-2021
30899.999999999898,5.0,532.0,,,,meta-analysis-2021
45000.0,5.0,532.0,,,,meta-analysis-2021
65900.0,5.0,532.0,,,,meta-analysis-2021
49100.0,15.0,,0.3,65.0,0.7,meta-analysis-2021
86500.0,15.0,,0.69,107.0,0.8,meta-analysis-2021
91299.9999999999,15.0,,0.88,115.0,1.0,meta-analysis-2021
141000.0,15.0,,1.39,121.0,1.9,meta-analysis-2021
66300.0,15.0,,0.49,87.0,1.2,meta-analysis-2021
100999.9999999999,15.0,,1.0,132.0,1.3,meta-analysis-2021
144000.0,15.0,,1.5,169.0,1.7,meta-analysis-2021
215000.0,15.0,,2.16,227.0,2.0,meta-analysis-2021
95099.99999999991,15.0,,0.47,142.0,1.4,meta-analysis-2021
205000.0,15.0,,1.29,156.0,1.9,meta-analysis-2021
300000.0,15.0,,1.22,183.0,2.4,meta-analysis-2021
499000.0,15.0,,2.34,243.0,2.5,meta-analysis-2021
25000000.0,2.8,,,,,meta-analysis-2021
165517.2413793099,15.0,,,257.142857142857,11.6141732283464,meta-analysis-2021
1189655.1724137901,15.0,,,2792.85714285714,90.7480314960629,meta-analysis-2021
493103.4482758619,15.0,,,3442.85714285714,263.188976377952,meta-analysis-2021
1786.1108017955,1.4,785.0,,,,meta-analysis-2021
48643.2855084846,1.4,785.0,,,,meta-analysis-2021
62214.7169726349,1.4,785.0,,,,meta-analysis-2021
50547.9682119125,1.4,785.0,,,,meta-analysis-2021
