Model,R2_mean,R2_std,R2_log_mean,R2_log_std,MAE_mean,MAE_std
ElasticNet,0.4744001516939008,0.10472787705796001,0.5609152167774634,0.0983758521092637,360445.11895830504,-26462.80092956715
Ridge,0.45323644875969216,0.14960266594290916,0.6072464069915127,0.1471257646425732,363408.6800084086,-27654.648749224994
RandomForest,0.4518623186841181,0.12307691248607427,0.6342335125541905,0.13089571597143757,355084.4012378674,-36462.49562235065
Lasso,0.4386732946300523,0.17161104418192344,0.6237712993706218,0.11074660019347855,366604.62531511707,-29647.625113830454
GradientBoosting,0.35890437123528496,0.1857039467770457,0.5652103004936679,0.1865817831996286,380446.49623894517,-44480.64091039576
