Model,R2_mean,R2_std,R2_log_mean,R2_log_std,MAE_mean
GradientBoosting,-4.7480779622837685,9.183751734664142,0.507301309952594,0.08111968628309812,2545678.850914934
RandomForest,-4.970140523028583,9.61513765392968,0.4891828299436147,0.07774067708718409,2513187.0404814915
Ridge,-0.3391193873017994,0.7301585816024694,0.19595118212027662,0.08196574447327687,2745490.098712338
Lasso,-0.35195091168843745,0.7520685381555922,0.19560451499782486,0.081502766620889,2771672.9271340347
ElasticNet,-0.3268873728859623,0.7090367164904209,0.1870462509011651,0.08347080554476993,2722123.9404582707
