Conductivity (MSm-1),Density (g cm-3),Specific Conductivity (kS m2/kg),Raman wavelength,Tensile Strength (MPa),Specific Strength (N/Tex),Young's Modulus (GPa),CNT Diameter (nm),Plottable CNT Diameter (nm),Host Conductivity (MSm-1),Bulk Fiber Diameter (microns),Thermal Conductivity (W/(m K)),Log Conductivity,Log Density,Log Specific Conductivity,Log Tensile Strength,Log Specific Strength,Log Youngs Modulus,Log CNT Diameter,Log Fiber Diameter,Log Thermal Conductivity,Log Host Conductivity ,Log Thermal Conductivity ,Probe separation for Electrical conductivity (microns),Bulk fibre diameter (nm),Log (Bulk fibre diameter (nm)),Effective diameter for ampacity (nm),Log (Effective diameter for ampacity (nm)),Notes on diameter,Diameter Regime
2.17200738193104,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,149.446494464944,Not Reported/ Can not calculate,7.43256019160469,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not Reported/ Can not calculate,0.3368612969418869,,,2.174485732340261,,0.8711384349675807,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
11,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.0413926851582251,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
11,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.0413926851582251,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.0351263001485884,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,65.2986627043091 These are before doping values ,,1.04761904761905  These are before doping values ,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.4543675920147592,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.568439821693907,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,304.665676077266  These are before doping values ,,12.2857142857142  These are before doping values ,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.2453155054522779,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.7317087667161959,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,421.108469539376  These are before doping values ,,23.1428571428571  These are before doping values ,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.1356617415859044,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.893075780089152,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,476.784546805349  These are before doping values ,,27.047619047619  These are before doping values ,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.049111688392276164,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.13473997028231,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,697.955423476968  These are before doping values ,,40.5714285714285  These are before doping values ,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.05489635279818884,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.3288558692421901,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,599.95839524517  These are before doping values ,,36.3809523809523  These are before doping values ,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.12347787892070357,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.60784546805349,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,663.676077265973  These are before doping values ,,45.1428571428571  These are before doping values ,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.20624430585729014,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.7153046062407098,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,796.995542347697  These are before doping values ,,47.5238095238095  These are before doping values ,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.23434125386146007,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
3,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.47712125471966244,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
4.872,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.6877072796248189,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.84,,,,,,,,,,,,0.2648178230095365,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
3,,,,,,,,,,,,0.47712125471966244,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
2.2,,,,,,,,,,,,0.3424226808222063,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
2,,,,,,,,,,,,0.3010299956639812,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
8,,,,,,,,,,,,0.9030899869919435,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
2,,,,,,,,,,,,0.3010299956639812,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
2.85,,,,,,,,,,,,0.4548448600085102,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.1,,,,,,,,,,,,0.04139268515822508,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.6,,,,,,,,,,,,0.2041199826559248,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
6,,,,,,,,,,,,0.7781512503836436,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
2.01,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.30319605742048883,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
2.483985765124559,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.39514910271808185,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.9051449036221958,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.04328188951745428,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.7217669412025932,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.1416030136343487,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
Not Reported/ Can not calculate,8.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.9493900066449128,,,,,,,,,,Not Reported/ Can not calculate,,,1000,3.0,"Effective diameter calculated from rectangular c.s. area 1 x 5 micron 1520 microdn, but if height is used, d=1micorn",large
3.3,1.1,3,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.38,1.38,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.5185139398778874,0.04139268515822508,0.47712125471966244,,,,0.13987908640123647,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.38,0.13987908640123647,,sub-micron
1,1.1,0.9090909090909091,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.38,1.38,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.0,0.04139268515822508,-0.04139268515822506,,,,0.13987908640123647,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.38,0.13987908640123647,,sub-micron
0.10988780345379559,2.1,0.05232752545418837,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,13.9,13.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.9590505076370865,0.3222192947339193,-1.2812698023710059,,,,1.1430148002540952,,,,,15,,,13.9,1.1430148002540952,,sub-micron
0.04300397840555223,2.1,0.02047808495502487,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,8.5,8.5,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.3664913648935737,0.3222192947339193,-1.688710659627493,,,,0.9294189257142927,,,,,15,,,8.5,0.9294189257142927,,sub-micron
0.007313509395711228,2.1,0.0034826235217672507,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,9.5,9.5,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-2.135874176330722,0.3222192947339193,-2.4580934710646414,,,,0.9777236052888477,,,,,15,,,9.5,0.9777236052888477,,sub-micron
0.018829305267927452,2.1,0.008966335841870213,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,12.4,12.4,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.7251657035559103,0.3222192947339193,-2.0473849982898296,,,,1.0934216851622351,,,,,15,,,12.4,1.0934216851622351,,sub-micron
0.02264685067232837,2.1,0.010784214605870649,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,15,15,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.6449921835286527,0.3222192947339193,-1.9672114782625723,,,,1.1760912590556813,,,,,15,,,15,1.1760912590556813,,sub-micron
0.016918591544172537,2.1,0.008056472163891683,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,18.5,18.5,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.7716357943734864,0.3222192947339193,-2.093855089107406,,,,1.2671717284030137,,,,,15,,,18.5,1.2671717284030137,,sub-micron
1.18,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,6,6,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.07188200730612536,,,,,,0.7781512503836436,,,,,2--6,,,6,0.7781512503836436,,sub-micron
19.2,2.1,9.14285714285714,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,18.2,18.2,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.2833012287035497,0.3222192947339193,0.9610819339696303,,,,1.2600713879850747,,,,,2--6,,,18.2,1.2600713879850747,,sub-micron
0.09952,2.1,0.04739047619047618,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,12.2,12.2,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.0020896326532565,0.3222192947339193,-1.324308927387176,,,,1.0863598306747482,,,,,2--6,,,12.2,1.0863598306747482,,sub-micron
0.48,2.1,0.2285714285714285,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,14.8,14.8,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.3187587626244128,0.3222192947339193,-0.6409780573583321,,,,1.1702617153949575,,,,,2--6,,,14.8,1.1702617153949575,,sub-micron
Not Reported/ Can not calculate,2.1,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,13.9,13.9,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.3222192947339193,,,,,1.1430148002540952,,,,,2.2,,,13.9,1.1430148002540952,,sub-micron
0.7407407407407407,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,9,884,-0.13033376849500614,,,,,,,0.9542425094393249,2.946452265013073,,2.946452265013073,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.7142857142857143,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,10,862,-0.146128035678238,,,,,,,1.0,2.9355072658247128,,2.9355072658247128,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.5524861878453039,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,10,661,-0.2576785748691845,,,,,,,1.0,2.82020145948564,,2.82020145948564,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.9523809523809523,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,10,1060,-0.021189299069938095,,,,,,,1.0,3.0253058652647704,,3.0253058652647704,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.6711409395973155,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,10,746,-0.17318626841227402,,,,,,,1.0,2.8727388274726686,,2.8727388274726686,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.5952380952380952,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.22530928172586287,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.9009009009009009,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.04532297878665743,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.519756838905775,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.18177410638604447,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
1.9960079840319362,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.3001622741327543,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
4.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.6127838567197355,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
,,,,,,,,,,,2000,,,,,,,,,3.3010299956639813,,3.3010299956639813,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
0.19,2.1,0.09047619047619046,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20,20,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.721246399047171,0.3222192947339193,-1.0434656937810904,,,,1.3010299956639813,,,,,3.4,,,20,1.3010299956639813,,sub-micron
1.4,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,20,20,0.19,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.146128035678238,,,,,,1.3010299956639813,,,-0.721246399047171,,6,,,20,1.3010299956639813,,sub-micron
"1.05263157894737 Cannot use, this is a ""density corrected value""",Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.4,1.4,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,,,,0.146128035678238,,,,,,,,1.4,0.146128035678238,,sub-micron
"0.138888888888889 Cannot use, this is a ""density corrected value""",Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.4,1.4,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,,,,0.146128035678238,,,,,,,,1.4,0.146128035678238,,sub-micron
"0.8 Cannot use, this is a ""density corrected value""",Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.4,1.4,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,,,,0.146128035678238,,,,,,,,1.4,0.146128035678238,,sub-micron
"0.121212121212121 Cannot use, this is a ""density corrected value""",Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.4,1.4,,Not Reported/ Can not calculate,216.5,,,,,,,0.146128035678238,,2.3354579006893843,,2.3354579006893843,,,,1.4,0.146128035678238,,sub-micron
Not Reported/ Can not calculate,2.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1411.5073133722674,0.6721463397010796,Not Reported/ Can not calculate,19,19,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.3222192947339193,,3.149683132677052,-0.1725361620568674,,1.2787536009528289,,,,,,,,19,1.2787536009528289,,sub-micron
Not Reported/ Can not calculate,2.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,4267.51592356688,2.032150439793752,Not Reported/ Can not calculate,20,20,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.3222192947339193,,3.630175150291593,0.3079558555576735,,1.3010299956639813,,,,,,,,20,1.3010299956639813,,sub-micron
Not Reported/ Can not calculate,2.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,947.5180291624991,0.45119906150595196,Not Reported/ Can not calculate,33,33,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.3222192947339193,,2.976587482377622,-0.34563181235629714,,1.5185139398778875,,,,,,,,33,1.5185139398778875,,sub-micron
Not Reported/ Can not calculate,2.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,904.301328929779,0.4306196804427519,Not Reported/ Can not calculate,36,36,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.3222192947339193,,2.9563131690657283,-0.3659061256681911,,1.5563025007672873,,,,,,,,36,1.5563025007672873,,sub-micron
Not Reported/ Can not calculate,2.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2939.735423811857,1.3998740113389794,Not Reported/ Can not calculate,13,13,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.3222192947339193,,3.4683082456675733,0.14608895093365382,,1.1139433523068367,,,,,,,,13,1.1139433523068367,,sub-micron
Not Reported/ Can not calculate,2.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2131.9155656156236,1.015197888388392,Not Reported/ Can not calculate,22,22,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.3222192947339193,,3.328770000488985,0.00655070575506544,,1.3424226808222062,,,,,,,,22,1.3424226808222062,,sub-micron
Not Reported/ Can not calculate,2.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2421.434963415276,1.1530642682929886,Not Reported/ Can not calculate,22,22,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,0.3222192947339193,,3.38407280895589,0.061853514221970975,,1.3424226808222062,,,,,,,,22,1.3424226808222062,,sub-micron
0.258,1.1,0.23454545454545456,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.4,1.4,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-0.5883802940367698,0.04139268515822508,-0.6297729791949949,,,,0.146128035678238,,,,,,,,1.4,0.146128035678238,,sub-micron
18.7,2.87,6.515679442508711,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1,1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.271841606536499,0.4578818967339923,0.8139597098025066,,,,0.0,,,,,0.5,,,1,0.0,,sub-micron
0.001975138180710058,0.04,0.049378454517751455,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.4,1.4,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-2.7044025157232703,-1.3979400086720375,-1.3064625070512326,,,,0.146128035678238,,,,,,,,1.4,0.146128035678238,,sub-micron
0.020628393573248024,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.4,1.4,0.001975138180710058,Not Reported/ Can not calculate,Not Reported/ Can not calculate,-1.6855345911949688,,,,,,0.146128035678238,,,-2.7044025157232703,,,,,1.4,0.146128035678238,,sub-micron
8.94688811826963,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,0.9516720064813432,,,,,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
4.01619406328295,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,,0.6038146898383236,,,,,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
18.7,2.1,8.904761904761903,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,8.6,8.6,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.271841606536499,0.3222192947339193,0.9496223118025796,,,,0.9344984512435677,,,,,2.6,,,8.6,0.9344984512435677,,sub-micron
8,2.1,3.809523809523809,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,15.3,15.3,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.9030899869919435,0.3222192947339193,0.5808706922580242,,,,1.1846914308175989,,,,,2.5,,,15.3,1.1846914308175989,,sub-micron
Not Reported/ Can not calculate,2.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,14,14,,Not Reported/ Can not calculate,3165.38841826781,,0.3222192947339193,,,,,1.146128035678238,,3.5004270090011733,,3.5004270090011733,,,,14,1.146128035678238,,sub-micron
Not Reported/ Can not calculate,1.1,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,1299.37735496111,,0.04139268515822508,,,,,,,3.113735293781413,,3.113735293781413,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
