Conductivity (MSm-1),Density (g cm-3),Specific Conductivity (kS m2/kg),Raman wavelength,Tensile Strength (MPa),Specific Strength (N/Tex),Young's Modulus (GPa),CNT Diameter (nm),Plottable CNT Diameter (nm),Host Conductivity (MSm-1),Bulk Fiber Diameter (microns),Thermal Conductivity (W/(m K)),Log Conductivity,Log Density,Log Specific Conductivity,Log Tensile Strength,Log Specific Strength,Log Youngs Modulus,Log CNT Diameter,Log Fiber Diameter,Log Thermal Conductivity,Log Host Conductivity ,Log Thermal Conductivity ,Probe separation for Electrical conductivity (microns),Bulk fibre diameter (nm),Log (Bulk fibre diameter (nm)),Effective diameter for ampacity (nm),Log (Effective diameter for ampacity (nm)),Notes on diameter,Diameter Regime
35.1583,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2.69,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.5460278675829522,,,,,,,,,0.42975228000240795,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
22.3539,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2.69,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.3493533037865189,,,,,,,,,0.42975228000240795,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
10.9483,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2.69,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.039346689227628,,,,,,,,,0.42975228000240795,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
63,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.7993405494535817,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
100,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2.0,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
63,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2.6,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.7993405494535817,,,,,,,,,0.414973347970818,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
9.09090909090909,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,2224,Not Reported/ Can not calculate,294,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.25,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.9586073148417749,,,3.34713478291002,,2.4683473304121573,,,,0.09691001300805642,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
60,2.24,26.78571428571428,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.7781512503836436,0.35024801833416286,1.4279032320494807,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
38.14553990610345,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.581443766212176,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
2.2522086409294473,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.3526086203743233,,,,,,,,,,,,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,,,Not reported/Can not calculate
2.49,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,0.3961993470957364,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
10.863999999999999,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,1.0359897569364265,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
16.942,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,1.2289646774051606,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
25.2,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,1.4014005407815442,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
15.86,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,1.200303182981585,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
22.4,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,1.3502480183341627,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
30.599999999999998,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,1.48572142648158,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
16.2,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,1.209515014542631,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
64.8,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,1.8115750058705933,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
11,,,,,,,,Not Reported/ Can not calculate,,Not Reported/ Can not calculate,,1.0413926851582251,,,,,,,,,,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
33.33333333333333,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.694915254237288,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.5228787452803374,,,,,,,,,0.2291479883578558,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
8.928571428571429,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.8849557522123893,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.9507819773298184,,,,,,,,,-0.05307844348341976,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
29.41176470588235,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.282051282051282,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.4685210829577449,,,,,,,,,0.10790539730951956,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
13.888888888888886,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.0309278350515463,Not Reported/ Can not calculate,Not Reported/ Can not calculate,1.1426675035687315,,,,,,,,,0.013228265733755101,,,,,Not Reported/ Can not calculate,,,Not reported/Can not calculate
7.751937984496124,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,Not Reported/ Can not calculate,0.9228497600590623,13.5,Not Reported/ Can not calculate,0.889410289700751,,,,,,,1.130333768495006,,-0.03486899636113067,,,13500,4.1303337684950066,13500,4.1303337684950066,,large
