Train_Size,Train_R2_Mean,Train_R2_Std,Val_R2_Mean,Val_R2_Std
15,0.724888523065859,0.22768130690205807,-35.5672557665839,44.07712426778079
31,0.7350974455500003,0.29176406258769433,-9.517808402115321,11.517903818935327
46,0.7269958686987112,0.2941877016335522,-2.9148656073501966,3.0176958827241984
62,0.7068491148689285,0.3053788698746028,-1.5491760664018421,1.698189042200391
77,0.7284737938243816,0.21340101287893495,-0.4703202162811685,0.7841079424298166
93,0.729887492339764,0.14075320094557822,-0.9122664869362269,1.3664780101931988
108,0.7232995576471849,0.11805790264053029,-1.9624166668108134,2.7013105778346462
124,0.7018512060072929,0.09152445028467218,0.003890494783066689,0.3191029826408413
139,0.6852242585509198,0.07904709081600311,-0.033409298131894305,0.28846251479175605
155,0.66957044474294,0.0721900524974704,-0.06361544564877306,0.2852820719333926
